t,com_x,com_y,com_z,lf_x,lf_y,lf_z,rf_x,rf_y,rf_z
0,0.01,0.09000000000000001,0.45,0.0,0.1,0.0,0.01,-0.11000000000000001,0.0
0.01,0.010010901980310564,0.08998909801968943,0.45,0.0,0.1,0.0,0.01000517324023807,-0.10982993045314113,0.001568
0.02,0.010043631691877195,0.08995636830812281,0.45,0.0,0.1,0.0,0.010022619820379598,-0.1093223402752117,0.0030719999999999983
0.03,0.01009826049843411,0.0899017395015659,0.45,0.0,0.1,0.0,0.010055304047484288,-0.10848226585348902,0.004512
0.04,0.010174907512415995,0.08982509248758401,0.45,0.0,0.1,0.0,0.01010629024143923,-0.10731621588752163,0.005888000000000003
0.05,0.010273739854670321,0.08972626014532968,0.45,0.0,0.1,0.0,0.01017874416081646,-0.10583215922159381,0.007199999999999998
0.060000000000000005,0.010394973018846938,0.08960502698115307,0.45,0.0,0.1,0.0,0.01027593408518553,-0.10403950697145331,0.008448
0.07,0.01053887134125962,0.08946112865874038,0.45,0.0,0.1,0.0,0.01040123147250565,-0.10194908893873533,0.009632
0.08,0.0107057485772439,0.0892942514227561,0.45,0.0,0.1,0.0,0.010558111112379504,-0.09957312432954143,0.010752000000000001
0.09,0.01089596858526797,0.08910403141473204,0.45,0.0,0.1,0.0,0.010750150698412111,-0.09692518681658113,0.011807999999999999
0.09999999999999999,0.011109946120288266,0.08889005387971174,0.45,0.0,0.1,0.0,0.010981029745691913,-0.09402016400709051,0.012799999999999999
0.10999999999999999,0.011348147738079524,0.08865185226192049,0.45,0.0,0.1,0.0,0.011254527782508541,-0.09087421140133065,0.013728
0.11999999999999998,0.011611092812511164,0.08838890718748885,0.45,0.0,0.1,0.0,0.011574521748856075,-0.08750470094878338,0.014592
0.12999999999999998,0.011899354667988034,0.08810064533201198,0.45,0.0,0.1,0.0,0.011944982538056448,-0.08393016433113787,0.015392
0.13999999999999999,0.012213561829524667,0.08778643817047534,0.45,0.0,0.1,0.0,0.012369970621992264,-0.0801702311227436,0.016128
0.15,0.01255439939317877,0.08744560060682123,0.45,0.0,0.1,0.0,0.012853630704979798,-0.07624556200034902,0.0168
0.16,0.012922610519831953,0.08707738948016805,0.45,0.0,0.1,0.0,0.013400185356261186,-0.07217777719459587,0.017408
0.17,0.013318998055574793,0.08668100194442521,0.45,0.0,0.1,0.0,0.014013927576470834,-0.0679893803958643,0.017952000000000003
0.18000000000000002,0.0137444262822293,0.0862555737177707,0.45,0.0,0.1,0.0,0.014699212259256907,-0.06370367834662163,0.018432
0.19000000000000003,0.014199822801825577,0.08580017719817443,0.45,0.0,0.1,0.0,0.015460446515536998,-0.05934469637138892,0.018848
0.20000000000000004,0.014686180559141657,0.08531381944085835,0.45,0.0,0.1,0.0,0.01630207883466123,-0.05493709011377776,0.019200000000000002
0.21000000000000005,0.015204560006716371,0.08479543999328364,0.45,0.0,0.1,0.0,0.017228587064069326,-0.05050605376774134,0.019488000000000002
0.22000000000000006,0.015756091417055883,0.08424390858294412,0.45,0.0,0.1,0.0,0.018244465196884063,-0.04607722510721235,0.019712
0.23000000000000007,0.01634197734707544,0.08365802265292457,0.45,0.0,0.1,0.0,0.019354208965304952,-0.041676587634653706,0.019872
0.24000000000000007,0.016963495260149695,0.0830365047398503,0.45,0.0,0.1,0.0,0.020562300246674953,-0.03733037018471283,0.019968
0.25000000000000006,0.017622000311488847,0.08237799968851116,0.45,0.0,0.1,0.0,0.02187319029871105,-0.03306494433414689,0.02
0.26000000000000006,0.018318928302913724,0.08168107169708629,0.45,0.0,0.1,0.0,0.023291281850635386,-0.028906719983469248,0.019968
0.2700000000000001,0.019055798813472406,0.08094420118652759,0.45,0.0,0.1,0.0,0.024820910087835723,-0.024882039489358687,0.019872
0.2800000000000001,0.019834218512724395,0.08016578148727561,0.45,0.0,0.1,0.0,0.026466322579237356,-0.02101707073978082,0.019712
0.2900000000000001,0.02065588466391662,0.07934411533608339,0.45,0.0,0.1,0.0,0.02823165820879547,-0.017337699575995208,0.019488
0.3000000000000001,0.021522588824689496,0.07847741117531051,0.45,0.0,0.1,0.0,0.03012092518542719,-0.013869421977182397,0.0192
0.3100000000000001,0.022436220753382207,0.0775637792466178,0.45,0.0,0.1,0.0,0.03213797821930184,-0.01063723643432167,0.018847999999999997
0.3200000000000001,0.02339877252945429,0.07660122747054571,0.45,0.0,0.1,0.0,0.034286494966696994,-0.007665536950204027,0.018431999999999997
0.3300000000000001,0.024412342897007867,0.07558765710299215,0.45,0.0,0.1,0.0,0.03656995186060525,-0.004978007112083488,0.017951999999999996
0.34000000000000014,0.025479141840881032,0.07452085815911898,0.45,0.0,0.1,0.0,0.03899159945993219,-0.0025975156924692433,0.017407999999999993
0.35000000000000014,0.026601495405290065,0.07339850459470994,0.45,0.0,0.1,0.0,0.04155443746644743,-0.0005460142419499298,0.016799999999999992
0.36000000000000015,0.02778185076552711,0.0722181492344729,0.45,0.0,0.1,0.0,0.0442611895756171,0.001155562854262493,0.01612799999999999
0.37000000000000016,0.029022781563771517,0.07097721843622849,0.45,0.0,0.1,0.0,0.04711427834503126,0.002487395377178417,0.015391999999999987
0.38000000000000017,0.030326993520649128,0.06967300647935087,0.45,0.0,0.1,0.0,0.050115800282309525,0.003430870846746037,0.014591999999999987
0.3900000000000002,0.03169733033477489,0.06830266966522511,0.45,0.0,0.1,0.0,0.053267501373081214,0.0039686741748691245,0.013727999999999983
0.4000000000000002,0.03313677988314209,0.06686322011685791,0.45,0.0,0.1,0.0,0.056570753288843215,0.004084872901683662,0.012799999999999982
0.4100000000000002,0.03464848073587759,0.06535151926412242,0.45,0.0,0.1,0.0,0.06002653053413941,0.0037649975131578695,0.01180799999999998
0.4200000000000002,0.03623572899956779,0.06376427100043222,0.45,0.0,0.1,0.0,0.0636353888125156,0.0029961163337745844,0.010751999999999977
0.4300000000000002,0.03790198550407644,0.062098014495923566,0.45,0.0,0.1,0.0,0.06739744491100132,0.0017669044843566517,0.009631999999999976
0.4400000000000002,0.039650883348524436,0.06034911665147557,0.45,0.0,0.1,0.0,0.07131235842337241,6.770639202360873e-05,0.008447999999999973
0.45000000000000023,0.041486235822884854,0.05851376417711515,0.45,0.0,0.1,0.0,0.07537931565305395,-0.002109408663148349,0.00719999999999997
0.46000000000000024,0.043412044722465376,0.05658795527753463,0.45,0.0,0.1,0.0,0.07959701605712455,-0.0047705984819139124,0.005887999999999966
0.47000000000000025,0.045432509073407026,0.05456749092659298,0.45,0.0,0.1,0.0,0.08396366161336108,-0.007920207878228128,0.004511999999999966
0.48000000000000026,0.04755203428822424,0.05244796571177576,0.45,0.0,0.1,0.0,0.08847694951248367,-0.011560737128523374,0.00307199999999996
0.49000000000000027,0.04977524177134896,0.050224758228651044,0.45,0.0,0.1,0.0,0.09313406859758214,-0.015692819455550844,0.0015679999999999583
